module	type	key	value	encodedValue	source	line
com.xiaoji.egggame.common.winemu_core	string	tp_dirty_0	0: 安全模式 [默认]	MDog5a6J5YWo5qih5byPIFvpu5jorqRd	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	103
com.xiaoji.egggame.common.winemu_core	string	tp_dirty_1	1: 允许脏块运行	MTog5YWB6K646ISP5Z2X6L+Q6KGM	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	104
com.xiaoji.egggame.common.winemu_core	string	tp_dirty_2	2: 热页面优化	Mjog54Ot6aG16Z2i5LyY5YyW	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	105
com.xiaoji.egggame.common.winemu_core	string	tp_fast_nan_0	0: 精确x86 NaN模拟	MDog57K+56GueDg2IE5hTuaooeaLnw==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	106
com.xiaoji.egggame.common.winemu_core	string	tp_fast_nan_1	1: 快速处理 [默认]	MTog5b+r6YCf5aSE55CGIFvpu5jorqRd	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	107
com.xiaoji.egggame.common.winemu_core	string	tp_fast_round_0	0: 精确舍入模拟	MDog57K+56Gu6IiN5YWl5qih5ouf	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	108
com.xiaoji.egggame.common.winemu_core	string	tp_fast_round_1	1: 快速处理 [默认]	MTog5b+r6YCf5aSE55CGIFvpu5jorqRd	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	109
com.xiaoji.egggame.common.winemu_core	string	tp_pause_0	0: 忽略 [默认]	MDog5b+955WlIFvpu5jorqRd	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	110
com.xiaoji.egggame.common.winemu_core	string	tp_pause_1	1: YIELD模拟	MTogWUlFTETmqKHmi58=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	111
com.xiaoji.egggame.common.winemu_core	string	tp_pause_2	2: WFI模拟	MjogV0ZJ5qih5ouf	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	112
